地点名,カテゴリ,緯度,経度,緑視率(%),天空率(%),複雑性(D),推定騒音(dB),実測騒音(dB),備考・コンテキスト,画像URL
国立競技場 空の杜,天空率・建築,35.6778,139.7136,0,100,100,100,,2階デッキ。360度の視界。,https://i.postimg.cc/nLxycn2k/Screenshot-2026-04-02-at-20-54-18.png
明治神宮外苑 聖徳記念絵画館前,天空率・整然,35.6785,139.7176,100,100,77.3,100,,左右対称の広場。視覚ノイズ少。,https://i.postimg.cc/nVQfkSXv/Screenshot-2026-04-02-at-20-55-43.png
新宿御苑 イギリス風景式庭園,天空率・開放,35.686,139.71,100,100,100,100,,広大な芝生。地平線の疑似体験。,https://i.postimg.cc/d075YpPW/Screenshot-2026-04-02-at-20-56-45.png
明治神宮 境内（御苑付近）,緑視率・没入,35.674,139.699,100,37.9,46,100,,深い森。フラクタル次元高。,https://i.postimg.cc/4yXvmFqX/Screenshot-2026-04-02-at-20-57-22.png
新宿御苑 母と子の森,緑視率・シェルター,35.6885,139.7065,100,32.6,44,95,,樹木に包まれる感覚。,https://i.postimg.cc/fyHdkWYH/Screenshot-2026-04-02-at-20-58-03.png
代々木公園 バードサンクチュアリ,緑視率・自然,35.672,139.695,100,82.7,99,100,,自然音メイン。生物多様性。,https://i.postimg.cc/zfmgycR5/Screenshot-2026-04-02-at-20-58-40.png
鳩森八幡神社 富士塚,静寂・没入,35.6788,139.709,45.6,82.9,0,55,,登ることで視点が変わる。,https://i.postimg.cc/c4wKVcbB/Screenshot-2026-04-02-at-21-00-46.png
北参道 路地裏（カフェ周辺）,静寂・生活,35.6765,139.7055,9.2,70.7,0,85,,大通りの騒音遮断。,https://i.postimg.cc/fTcLHRVH/Screenshot-2026-04-02-at-21-01-25.png
サニーヒルズ南青山,複雑性・建築,35.6645,139.713,0,85.3,31.2,35,,隈研吾建築。木組みのゆらぎ。,https://i.postimg.cc/qBnMRvxt/Screenshot-2026-04-02-at-21-02-05.png
ののあおやま（北青山三丁目）,日常・再開発,35.6685,139.7115,100,88,0,10,,都市の中の「里山」的余白。,https://i.postimg.cc/RCc4mbvS/Screenshot-2026-04-02-at-21-02-45.png
千駄ヶ谷駅前 公衆トイレ周辺,日常・デザイン,35.6812,139.7112,100,65.2,44,90,,デザインされた公共空間。,https://i.postimg.cc/5Nsc9hTc/Screenshot-2026-04-02-at-21-03-34.png
新宿サザンテラス 奥のベンチ,日常・鉄道,35.6855,139.7015,60.8,82.1,26,70,,線路を眺める一人席。,https://i.postimg.cc/8c8v6XYV/Screenshot-2026-04-02-at-21-08-33.png
青山霊園 中央歩道,静寂・死生観,35.666,139.7225,0,83.8,0,95,,逆説的な静けさと桜並木。,https://i.postimg.cc/7hVLZB8s/Screenshot-2026-04-02-at-21-09-31.png
根津美術館 庭園,複雑性・和,35.662,139.7175,100,78.4,2,80,,整えられた日本庭園の余白。,https://i.postimg.cc/yY81Tyzd/Screenshot-2026-04-02-at-21-10-16.png
表参道ヒルズ 裏路地,静寂・洗練,35.6675,139.71,3.8,82.6,0,50,,喧騒から一歩入った静寂。,https://i.postimg.cc/25RNg4g5/Screenshot-2026-04-02-at-21-11-12.png
赤坂迎賓館 前庭,天空率・威厳,35.68,139.729,100,85.6,76.2,100,,圧倒的な開放感と、砂利の踏む音による聴覚的余白。,https://i.postimg.cc/prdwKk5g/Screenshot-2026-04-02-at-21-11-47.png
明治記念館 庭園,複雑性・和,35.6815,139.7205,100,37,38,100,,芝生と歴史的建築の対比。視界が非常に整っている。,https://i.postimg.cc/152kNGmL/Screenshot-2026-04-02-at-21-12-17.png
新宿御苑 日本庭園（上の池付近）,複雑性・水辺,35.6875,139.7085,100,97.6,98,100,,水面の反射と、計算された植栽のゆらぎ（1/fゆらぎ）。,https://i.postimg.cc/4yn0YdjS/Screenshot-2026-04-02-at-21-12-51.png
代々木競技場 第一体育館前広場,天空率・曲線,35.668,139.7005,100,89.2,65.3,100,,吊り構造の曲線美が作る、贅沢な「何もない空間」。,https://i.postimg.cc/XY9zGtDb/Screenshot-2026-04-02-at-21-13-26.png
サントリー美術館周辺（東京ミッドタウン内）,人工的・洗練,35.6655,139.731,100,39.7,46,0,,木材を多用したデザインと、静かな屋内・屋外の接続。,https://i.postimg.cc/WtL7s1VK/Screenshot-2026-04-02-at-21-14-40.png
東郷神社 境内,静寂・没入,35.6715,139.7055,100,73.7,0,60,,竹下通りのすぐ裏なのに、一瞬で音が消える不思議な空間。,https://i.postimg.cc/020t976y/Screenshot-2026-04-02-at-21-15-49.png
青山公園（南地区）,日常・広場,35.6665,139.7245,47.9,82.4,0,80,,ヘリポート近く。都心とは思えないほど空が広く、人が少ない。,https://i.postimg.cc/K8Y5Fwh2/Screenshot-2026-04-02-at-21-16-29.png
赤坂 氷川神社,緑視率・歴史,35.6685,139.7345,100,87.6,0,100,,樹齢数百年の大銀杏。自然の圧倒的なスケールによる癒し。,https://i.postimg.cc/xdzM1Ssg/Screenshot-2026-04-02-at-21-17-05.png
ブラームスの小径（竹下通り裏）,静寂・異国感,35.671,139.7045,0,77.6,0,0,,ヨーロッパのような石畳。視覚的な情報量が整理されている。,https://i.postimg.cc/05fmQnf2/Screenshot-2026-04-02-at-21-17-37.png
外苑前 秩父宮ラグビー場付近の路地,静寂・隠れ家,35.6735,139.7175,100,16.4,32,100,,賑やかなスタジアム通りから一本入った、静かなエアポケット。,https://i.postimg.cc/yNc3zydt/Screenshot-2026-04-02-at-21-18-06.png
スターバックスコーヒー 都立明治公園店,日常・公園接続,35.6762,139.7145,100,25.6,29,80,,公園の緑と一体化した空間。窓際の緑視率が高い。,https://i.postimg.cc/P58PmQmd/Screenshot-2026-04-02-at-21-18-39.png
鳩森八幡神社 境内（ベンチ付近）,静寂・精神,35.6788,139.709,45.5,78.9,0,60,,富士塚とは別の、木々に囲まれた静かなベンチ。,https://i.postimg.cc/2yKSW1yn/Screenshot-2026-04-02-at-21-19-21.png
津田塾大学 千駄ヶ谷キャンパス屋上,天空率・プライベート,35.6805,139.7095,100,76.6,16,85,,新入生の聖域。360度の空と新宿のビル群。,https://i.postimg.cc/3NDPLNnM/Screenshot-2026-04-02-at-21-21-46.png
国立能楽堂 前庭,複雑性・伝統,35.6795,139.7075,0,80.5,0,90,,建築の直線美と、整えられた前庭の静寂。,https://i.postimg.cc/C5Xw19rJ/Screenshot-2026-04-02-at-21-20-09.png
千駄ヶ谷駅 1番線ホームの端（西側）,日常・鉄道,35.6815,139.7105,100,63.1,36,80,,電車の音と新宿御苑の緑が混ざる、移動中の余白。,https://i.postimg.cc/hvzqHp4Z/Screenshot-2026-04-02-at-21-21-01.png
